word,length,fre,pmi,entropy
吸气呼气吸,5,3.344929087503345e-05,6.829381281330047,1.0986122886681096
二楼窗,3,6.68985817500669e-05,6.595981229848648,1.3296613488547582
略显,2,4.45990545000446e-05,6.526988358361696,1.3862943611198906
原来如此,4,7.804834537507805e-05,5.966012950910234,1.945910149055313
十分钟,3,0.00014494692712514496,5.879559142934213,2.0317592185692717
越来越近,4,5.574881812505575e-05,6.539639475915255,1.3321790402101223
快步走,3,7.804834537507805e-05,6.102921824302986,1.7478680974667573
没有任何,4,0.00016724645437516726,5.380644666872397,2.4307913288782323
·德文,3,5.574881812505575e-05,6.4204856381250925,1.3321790402101223
挂断电话,4,3.344929087503345e-05,6.6419183250356735,1.0986122886681096
写着这封信,5,5.574881812505575e-05,6.406879986069314,1.3321790402101223
水煮荷包蛋,5,3.344929087503345e-05,6.6249687667219,1.0986122886681096
初次见面,4,7.804834537507805e-05,5.966012950910234,1.7478680974667573
